id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
609187746656396937,Rental unit in Zürich · ★4.94 · 1 bedroom · 1 bed · 1 bath,1348435,Rafael,Kreis 8,Mühlebach,47.36297,8.55133,Entire home/apt,136,3,18,2023-12-10,0.89,7,316,9,
610476869049419611,Rental unit in Zürich · ★4.86 · 2 bedrooms · 3 beds · 1 bath,15038541,Cher.,Kreis 4,Langstrasse,47.37467,8.52076,Entire home/apt,196,1,124,2023-12-20,6.27,16,0,52,
611362528720663631,Condo in Zürich · 2 bedrooms · 2 beds · 1 bath,467512,Daniel,Kreis 7,Witikon,47.36,8.58082,Entire home/apt,220,5,1,2022-07-16,0.06,1,83,0,
611493467746031797,Rental unit in Zürich · 1 bedroom · 1 bed · 1 bath,34251012,Mark,Kreis 4,Langstrasse,47.373943,8.531517,Entire home/apt,130,14,0,,,1,361,0,
611985594265099039,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath,22513551,Luca,Kreis 3,Friesenberg,47.35963,8.49896,Entire home/apt,184,1,3,2023-06-24,0.22,35,17,2,
612001841916872417,Rental unit in Zürich · ★4.89 · 1 bedroom · 1 bed · 1 bath,22513551,Luca,Kreis 3,Friesenberg,47.35916,8.4975,Entire home/apt,184,1,9,2023-11-29,0.46,35,0,2,
612242658839153724,Rental unit in Zürich · ★4.67 · 1 bedroom · 1 bed · 1 bath,1229459,Swissstay,Kreis 7,Hirslanden,47.36185,8.56097,Entire home/apt,103,2,15,2023-11-05,0.79,55,255,3,
612810100807159979,Rental unit in Zürich · ★4.93 · 1 bedroom · 2 beds · 1 private bath,89063652,Ernst,Kreis 7,Hirslanden,47.363106,8.560724,Private room,75,2,69,2023-12-26,3.47,1,340,37,
613557962134314623,Hotel in Zürich · ★4.74 · 1 bedroom · 1 bed · 1 bath,322266523,Krone,Kreis 1,Rathaus,47.37445,8.54364,Private room,84,3,31,2023-11-28,1.61,10,25,21,
614184104934824500,Rental unit in Zürich · 1 bedroom · 2 beds · 1 bath,400394761,Sebastien,Kreis 4,Langstrasse,47.37574005126953,8.52796745300293,Entire home/apt,500,14,1,2023-05-31,0.14,1,342,1,
614486919328611109,Rental unit in Zürich · 1 bedroom · 2 beds · 1 bath,23231454,Yann,Kreis 11,Seebach,47.42659,8.54396,Entire home/apt,80,3,1,2023-08-14,0.22,1,0,1,
616336390630144569,Rental unit in Zürich · ★5.0 · 2 bedrooms · 2 beds · 1 bath,31603500,Alexander,Kreis 7,Hottingen,47.367218,8.5523,Entire home/apt,230,3,6,2023-02-18,0.35,1,58,1,
617877133324898745,Condo in Zürich · ★4.76 · Studio · 1 bed · 1.5 baths,457076218,Teresa,Kreis 5,Gewerbeschule,47.38402,8.53252,Entire home/apt,104,1,72,2023-12-10,3.65,1,32,51,
620009155757784346,Condo in Zürich · 1 bedroom · 2 beds · 1 bath,21430889,Alex,Kreis 6,Unterstrass,47.39899,8.53786,Entire home/apt,300,2,2,2023-07-02,0.11,1,87,1,
621560195694699017,Condo in Zürich · 1 bedroom · 1 bed · 1.5 baths,7103378,Christina,Kreis 10,Höngg,47.40043,8.49021,Entire home/apt,182,30,0,,,1,358,0,
623050055657361720,Rental unit in Zürich · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,23750177,Francesca,Kreis 4,Langstrasse,47.38017,8.5264,Private room,80,2,8,2023-10-16,0.52,1,153,7,
623482713187455825,Rental unit in Zürich · ★4.53 · 1 bedroom · 1 bed · 1 bath,283590580,Louis,Kreis 4,Langstrasse,47.38023,8.52634,Entire home/apt,109,2,17,2023-10-22,0.89,1,169,11,
